Title,Year,Maynard and Miles,Schottlaender v4.0,Description,Image
Junkie,1953,A1a,A1a,"New York: Ace Books, Inc., 1953. First, Maynard and Miles A1a. Not as much yellowing as is typical.",Junkie_2.resources/junkie_522289654_o.jpg
Junkie,1953,A1a,A1a,"New York: Ace Books, Inc., 1953. First, Maynard and Miles A1a. Signed by Burroughs, dated ""Nov. 6, 1985"". Yellowing and fragile, bookseller's sticker on inside front cover.",Junkie_3.resources/junkie_522289688_o.jpg
Junkie,1957,A1b,A1b,"London: Digit Books, 1957. First English, Maynard and Miles A1b. In custom clamshell case.",Junkie_1.resources/junkie_522289596_o.jpg
Chicago Review 12(3),1958,C5,C5,Maynard and Miles C5. Soiled and worn on the spine.,Chicago%20Review%2012(3).resources/chicago-review-123_522298811_o.jpg
The Naked Lunch,1959,A2a,A2a,"Paris: The Olympia Press, 1959. First, Maynard and Miles A2a. Signed by Burroughs. With slight chipping and tearing on dust jacket spine.",The%20Naked%20Lunch_2.resources/the-naked-lunch_522289742_o.jpg
Big Table 2,1959,C7,C8,Maynard and Miles C7.,Big%20Table%202.resources/big-table-2_522288224_o.jpg
Big Table 1,1959,C6,C7,Maynard and Miles C6.,Big%20Table%201.resources/big-table-1_522288192_o.jpg
The Exterminator,1960,A4a,A3a,"San Francisco: The Auerhahn Press, 1960. First, Maynard and Miles A4a. Yellowing on edges.",The%20Exterminator.resources/the-exterminator_522302125_o.jpg
The Exterminator,1960,A4a,A3a,"San Francisco: The Auerhahn Press, 1960. First, Maynard and Miles A4a. Little yellowing.",The%20Exterminator_1.resources/the-exterminator_522294926_o.jpg
Minutes To Go,1960,A3a,A4a,"Paris: Two Cities Editions, 1960. First, Maynard and Miles A3a. Slightly soiled wrappers with wear on spine.",Minutes%20To%20Go.resources/minutes-to-go_522295098_o.jpg
Big Table 4,1960,C16,C14,Maynard and Miles C16.,Big%20Table%204.resources/big-table-4_522290572_o.jpg
The Soft Machine,1961,A5a,A5a,"Paris: The Olympia Press, 1961. First, Maynard and Miles A5a.",The%20Soft%20Machine_2.resources/the-soft-machine_522295522_o.jpg
The Floating Bear 5,1961,"C31, C32",C24,Maynard and Miles C31.,The%20Floating%20Bear%205.resources/the-floating-bear-5_2097983977_o.jpg
The Outsider 1,1961,C35,C33,Maynard and Miles C35.,The%20Outsider%201.resources/the-outsider-1_522301831_o.jpg
Rhinozeros 5,1961,C38,C34,Maynard and Miles C38.,Rhinozeros%205.resources/rhinozeros-5_528568472_o.jpg
The Ticket That Exploded,1962,A6a,A6a,"Paris: The Olympia Press, 1962. First, Maynard and Miles A6a.",The%20Ticket%20That%20Exploded_3.resources/the-ticket-that-exploded_522302863_o.jpg
The Ticket That Exploded,1962,A6a,A6a,"Paris: The Olympia Press, 1962. First, Maynard and Miles A6a. Signed by Burroughs, inscribed ""For Ralph"", without dust jacket.",The%20Ticket%20That%20Exploded_1.resources/the-ticket-that-exploded_522293744_o.jpg
The Ticket That Exploded,1962,A6a,A6a,"Paris: The Olympia Press, 1962. First, Maynard and Miles A6a. Signed by Burroughs. With slight yellowing on dust jacket.",The%20Ticket%20That%20Exploded_6.resources/the-ticket-that-exploded_522293782_o.jpg
Naked Lunch,1962,A2b,A2b,"New York: Grove Press, Inc., 1962. First American, Maynard and Miles A2b.",Naked%20Lunch_2.resources/naked-lunch_522302025_o.jpg
From Naked Lunch,1962,F7,A2b1,"New York: Grove Press, Inc., 1962. Pre-publication brochure for Naked Lunch Grove Press edition (A2b). Maynard and Miles F7. Signed and dated ""12/18/87"" by Burroughs. ",From%20Naked%20Lunch.resources/from-naked-lunch_522289776_o.jpg
Evergreen Review 6(22),1962,C39,C38,Maynard and Miles C39.,Evergreen%20Review%206(22).resources/evergreen-review-622_686753291_o.jpg
Rhinozeros 7,1962,C45,C45,Maynard and Miles C45.,Rhinozeros%207.resources/rhinozeros-7_528564508_o.jpg
Takis,1962,F5,G89,Maynard and Miles F5.,Statement%20on%20Takis.resources/statement-on-takis_522290718_o.jpg
Rhinozeros 6,1962,C43,C44,Maynard and Miles C43.,Rhinozeros%206.resources/rhinozeros-6_528564514_o.jpg
The Yage Letters,1963,A8a,A8a,"San Francisco: City Lights Books, 1963. First, Maynard and Miles A8a.",The%20Yage%20Letters.resources/the-yage-letters_522288536_o.jpg
