Schottlaender v4.0,Title,Publisher,Year,Description,Maynard and Miles,Image
A1a,Junkie,"New York: Ace Books, Inc.",1953,First. Not as much yellowing as is typical.,A1a,Junkie_2.resources/junkie_522289654_o.jpg
A1a,Junkie,"New York: Ace Books, Inc.",1953,"First. Signed by Burroughs, dated ""Nov. 6, 1985"". Yellowing and fragile, bookseller's sticker on inside front cover.",A1a,Junkie_3.resources/junkie_522289688_o.jpg
A1b,Junkie,London: Digit Books,1957,First English. In custom clamshell case.,A1b,Junkie_1.resources/junkie_522289596_o.jpg
C3,British Journal of Addiction 53(2),,1957,"Offprint of Burroughs' article ""Letter From A Master Addict To Dangerous Drugs."" Limited to 50 copies. Signed by Burroughs, inscribed to Nelson Lyon ""For Nelson, William S. Burroughs October 20, 1992."" With postmarked envelope with William Burroughs Communications return address.",C1b,Letter%20From%20A%20Master%20Addict%20To%20Dangerous%20Drugs.resources/letter-from-a-master-addict-to-dangerous-drugs_522298735_o.jpg
C5,Chicago Review 12(3),,1958,Soiled and worn on the spine.,C5,Chicago%20Review%2012(3).resources/chicago-review-123_522298811_o.jpg
A2a,The Naked Lunch,Paris: The Olympia Press,1959,First. Signed by Burroughs. With slight chipping and tearing on dust jacket spine.,A2a,The%20Naked%20Lunch_2.resources/the-naked-lunch_522289742_o.jpg
C7,Big Table 1,,1959,,C6,Big%20Table%201.resources/big-table-1_522288192_o.jpg
C8,Big Table 2,,1959,,C7,Big%20Table%202.resources/big-table-2_522288224_o.jpg
A3a,The Exterminator,San Francisco: The Auerhahn Press,1960,First. Yellowing on edges.,A4a,The%20Exterminator.resources/the-exterminator_522302125_o.jpg
A3a,The Exterminator,San Francisco: The Auerhahn Press,1960,First. Little yellowing.,A4a,The%20Exterminator_1.resources/the-exterminator_522294926_o.jpg
A4a,Minutes To Go,Paris: Two Cities Editions,1960,First. Slightly soiled wrappers with wear on spine.,A3a,Minutes%20To%20Go.resources/minutes-to-go_522295098_o.jpg
C14,Big Table 4,,1960,,C16,Big%20Table%204.resources/big-table-4_522290572_o.jpg
A5a,The Soft Machine,Paris: The Olympia Press,1961,First.,A5a,The%20Soft%20Machine_2.resources/the-soft-machine_522295522_o.jpg
C24,The Floating Bear 5,,1961,,"C31, C32",The%20Floating%20Bear%205.resources/the-floating-bear-5_2097983977_o.jpg
C33,The Outsider 1,,1961,,C35,The%20Outsider%201.resources/the-outsider-1_522301831_o.jpg
C34,Rhinozeros 5,,1961,,C38,Rhinozeros%205.resources/rhinozeros-5_528568472_o.jpg
A2b,Naked Lunch,"New York: Grove Press, Inc.",1962,First American.,A2b,Naked%20Lunch_2.resources/naked-lunch_522302025_o.jpg
A2b1,From Naked Lunch,"New York: Grove Press, Inc.",1962,"Pre-publication brochure for Naked Lunch Grove Press edition. Signed and dated ""12/18/87"" by Burroughs.",F7,From%20Naked%20Lunch.resources/from-naked-lunch_522289776_o.jpg
A6a,The Ticket That Exploded,Paris: The Olympia Press,1962,First.,A6a,The%20Ticket%20That%20Exploded_3.resources/the-ticket-that-exploded_522302863_o.jpg
