Id,Schottlaender v4.0,Maynard and Miles,Title,Publisher,Year,Description
junkie-1,A1a,A1a,Junkie,"New York: Ace Books, Inc.",1953,First. Not as much yellowing as is typical.
junkie-2,A1a,A1a,Junkie,"New York: Ace Books, Inc.",1953,"First. Signed by Burroughs, dated ""Nov. 6, 1985"". Yellowing and fragile, bookseller's sticker on inside front cover."
junkie-3,A1b,A1b,Junkie,London: Digit Books,1957,First English. In custom clamshell case.
british-journal-of-addiction-5-1,C3,C1b,British Journal of Addiction 53(2),,1957,"Offprint of Burroughs' article ""Letter From A Master Addict To Dangerous Drugs."" Limited to 50 copies. Signed by Burroughs, inscribed to Nelson Lyon ""For Nelson, William S. Burroughs October 20, 1992."" With postmarked envelope with William Burroughs Communications return address."
chicago-review-12-3-1,C5,C5,Chicago Review 12(3),,1958,Soiled and worn on the spine.
the-naked-lunch-1,A2a,A2a,The Naked Lunch,Paris: The Olympia Press,1959,First. Signed by Burroughs. With slight chipping and tearing on dust jacket spine.
big-table-1-1,C7,C6,Big Table 1,,1959,
big-table-2-1,C8,C7,Big Table 2,,1959,
the-exterminator-1,A3a,A4a,The Exterminator,San Francisco: The Auerhahn Press,1960,First. Yellowing on edges.
the-exterminator-2,A3a,A4a,The Exterminator,San Francisco: The Auerhahn Press,1960,First. Little yellowing.
minutes-to-go-1,A4a,A3a,Minutes To Go,Paris: Two Cities Editions,1960,First. Slightly soiled wrappers with wear on spine.
big-table-4-1,C14,C16,Big Table 4,,1960,
the-soft-machine-1,A5a,A5a,The Soft Machine,Paris: The Olympia Press,1961,First.
the-floating-bear-5-1,C24,"C31, C32",The Floating Bear 5,,1961,
the-outsider-1-1,C33,C35,The Outsider 1,,1961,
rhinozeros-5-1,C34,C38,Rhinozeros 5,,1961,
naked-lunch-1,A2b,A2b,Naked Lunch,"New York: Grove Press, Inc.",1962,First American.
from-naked-lunch-1,A2b1,F7,From Naked Lunch,"New York: Grove Press, Inc.",1962,"Pre-publication brochure for Naked Lunch Grove Press edition. Signed and dated ""12/18/87"" by Burroughs."
the-ticket-that-exploded-1,A6a,A6a,The Ticket That Exploded,Paris: The Olympia Press,1962,First.
the-ticket-that-exploded-2,A6a,A6a,The Ticket That Exploded,Paris: The Olympia Press,1962,"First. Signed by Burroughs, inscribed ""For Ralph"", without dust jacket."
the-ticket-that-exploded-3,A6a,A6a,The Ticket That Exploded,Paris: The Olympia Press,1962,First. Signed by Burroughs. With slight yellowing on dust jacket.
evergreen-review-6-22-1,C38,C39,Evergreen Review 6(22),,1962,
rhinozeros-6-1,C44,C43,Rhinozeros 6,,1962,
rhinozeros-7-1,C45,C45,Rhinozeros 7,,1962,
takis-1,G89,F5,Takis,,1962,
dead-fingers-talk-1,A7a,A7a,Dead Fingers Talk,London: John Calder,1963,First.
the-yage-letters-1,A8a,A8a,The Yage Letters,San Francisco: City Lights Books,1963,First.
