ID,Title,Year,Maynard and Miles,Schottlaender,Description,Image
0,Junkie,1953,A1a,,"New York: Ace Books, Inc., 1953. First, Maynard and Miles A1a. Not as much yellowing as is typical.",Junkie_2.resources/junkie_522289654_o.jpg
1,Junkie,1953,A1a,,"New York: Ace Books, Inc., 1953. First, Maynard and Miles A1a. Signed by Burroughs, dated ""Nov. 6, 1985"". Yellowing and fragile, bookseller's sticker on inside front cover.",Junkie_3.resources/junkie_522289688_o.jpg
2,Junkie,1957,A1b,,"London: Digit Books, 1957. First English, Maynard and Miles A1b. In custom clamshell case.",Junkie_1.resources/junkie_522289596_o.jpg
3,The Naked Lunch,1959,A2a,,"Paris: The Olympia Press, 1959. First, Maynard and Miles A2a. Signed by Burroughs. With slight chipping and tearing on dust jacket spine.",The%20Naked%20Lunch_2.resources/the-naked-lunch_522289742_o.jpg
4,The Exterminator,1960,A4a,,"San Francisco: The Auerhahn Press, 1960. First, Maynard and Miles A4a. Yellowing on edges.",The%20Exterminator.resources/the-exterminator_522302125_o.jpg
5,The Exterminator,1960,A4a,,"San Francisco: The Auerhahn Press, 1960. First, Maynard and Miles A4a. Little yellowing.",The%20Exterminator_1.resources/the-exterminator_522294926_o.jpg
6,Minutes To Go,1960,A3a,,"Paris: Two Cities Editions, 1960. First, Maynard and Miles A3a. Slightly soiled wrappers with wear on spine.",Minutes%20To%20Go.resources/minutes-to-go_522295098_o.jpg
7,The Soft Machine,1961,A5a,,"Paris: The Olympia Press, 1961. First, Maynard and Miles A5a.",The%20Soft%20Machine_2.resources/the-soft-machine_522295522_o.jpg
8,The Ticket That Exploded,1962,A6a,,"Paris: The Olympia Press, 1962. First, Maynard and Miles A6a.",The%20Ticket%20That%20Exploded_3.resources/the-ticket-that-exploded_522302863_o.jpg
9,The Ticket That Exploded,1962,A6a,,"Paris: The Olympia Press, 1962. First, Maynard and Miles A6a. Signed by Burroughs, inscribed ""For Ralph"", without dust jacket.",The%20Ticket%20That%20Exploded_1.resources/the-ticket-that-exploded_522293744_o.jpg
10,The Ticket That Exploded,1962,A6a,,"Paris: The Olympia Press, 1962. First, Maynard and Miles A6a. Signed by Burroughs. With slight yellowing on dust jacket.",The%20Ticket%20That%20Exploded_6.resources/the-ticket-that-exploded_522293782_o.jpg
11,Naked Lunch,1962,A2b,,"New York: Grove Press, Inc., 1962. First American, Maynard and Miles A2b.",Naked%20Lunch_2.resources/naked-lunch_522302025_o.jpg
12,From Naked Lunch,1962,F7,,"New York: Grove Press, Inc., 1962. Pre-publication brochure for Naked Lunch Grove Press edition (A2b). Maynard and Miles F7. Signed and dated ""12/18/87"" by Burroughs. ",From%20Naked%20Lunch.resources/from-naked-lunch_522289776_o.jpg
13,The Yage Letters,1963,A8a,,"San Francisco: City Lights Books, 1963. First, Maynard and Miles A8a.",The%20Yage%20Letters.resources/the-yage-letters_522288536_o.jpg
14,Dead Fingers Talk,1963,A7a,,"London: John Calder, 1963. First, Maynard and Miles A7a.",Dead%20Fingers%20Talk.resources/dead-fingers-talk_522293406_o.jpg
15,Nova Express,1964,A10a,,"New York: Grove Press, Inc., 1964. First, Maynard and Miles A10a. Tear on spine of dust jacket.",Nova%20Express_3.resources/nova-express_522295568_o.jpg
16,The Naked Lunch,1964,A2c,,"London: John Calder, 1964. First English, Maynard and Miles A2c.",The%20Naked%20Lunch_1.resources/the-naked-lunch_522290270_o.jpg
17,Nova Express,1964,A10a,,"New York: Grove Press, Inc., 1964. First, Maynard and Miles A10a. Signed by Burroughs, inscribed ""For Gerald Holsinger with all best wishes William S. Burroughs July 27, 1965 New York"".",Nova%20Express_1.resources/nova-express_522294502_o.jpg
18,The Coldspring News,1964,C124c,,"Flint, MI: Fenian Head Centre Press, 1964. Maynard and Miles C124c. Per Brewer's Books: ""This is one of the separately issued copies with no fold creases. Newsprint very tanned penciled price in upper right hand corner as it was sold in some bookstores in the '60's for ten cents each. ... No copyright at lower edge which according to Maynard and Miles (C124c) means it is a 'later state' ...""",The%20Coldspring%20News.resources/the-coldspring-news_8500953103_o.jpg
19,LSD: The Consciousness-Expanding Drug,1964,B15a,,"New York: Putnam, 1964. First. Maynard and Miles B15a. Personal copy of Owsley Stanley, signed by Stanley.",LSD%3A%20The%20Consciousness-Expanding%20Drug.resources/lsd-the-consciousness-expanding-drug_522302539_o.jpg
20,Roosevelt After Inauguration,1964,A9a,,"New York: Fuck You Press, 1964. First, Maynard and Miles A9a.",Roosevelt%20After%20Inauguration.resources/roosevelt-after-inauguration_522288680_o.jpg
21,The Naked Lunch,1964,A2c,,"London: John Calder, 1964. First English, Maynard and Miles A2c. An advance copy in the form of unbound signatures, uncut. Fingermarks, slightly soiled.",The%20Naked%20Lunch.resources/the-naked-lunch_522297981_o.jpg
22,Pry Yourself Loose And Listen,1964,,,"Tangier, Morocco: Ira Cohen, 1964. First in wrappers. Offprint of Maynard & Miles C68, C69, C70 and C71. Not in Maynard & Miles, Shoaf or Schottlaender.",Pry%20Yourself%20Loose%20And%20Listen.resources/pry-yourself-loose-and-listen_16651284520_o.jpg
23,Roosevelt After Inauguration,1964,A9a,,"New York: Fuck You Press, 1964. First, Maynard and Miles A9a. Signed by Burroughs and Allen Ginsberg, dated ""1978"" by Ginsberg.",Roosevelt%20After%20Inauguration_2.resources/roosevelt-after-inauguration_522296883_o.jpg
24,Junkie,1964,A1c,,"New York, NY: Ace Books, 1964. First state, Maynard and Miles A1c.",Junkie.resources/junkie_12650178874_o.jpg
25,"Health Bulletin: APO-33, A Metabolic Regulator",1965,A12a,,"New York: Fuck You Press, 1965. First, Maynard and Miles A12a. From James Musser's description: ""Mimeographed sheets, stapled at the edge. The correct first edition. The legendarily rare Fuck You Press edition of this title published by Ed Sanders who abandoned the project before completion. According to Sanders ""maybe as many as ten or twenty"" copies were distributed before he halted publication due to Burroughs' dissatisfaction with the copy he'd received. Maynard and Miles state that ""a good early copy was secured by Bill Beckman,"" and that is the copy offered here. Bill Beckman was an artist from Texas who designed album covers for The Fugs, and a good friend of Sanders who regularly gave him copies of current Fuck You Press publications. This copy bears Beckman's ownership signature on the title page. If only 10 or 20 copies did exist originally, far fewer have been accounted for. We know of only 3 copies in private hands, NUC and WORLDCAT turn up no copies in institutions (though there is a copy at Northwestern), and we've never seen a copy offered for sale. The cover sheet has pulled loose from two staples, else fine with all of the illustrations pasted in. Housed in a handsome clamshell box.""","Health%20Bulletin%3A%20APO-33,%20A%20Metabolic%20Regulator.resources/health-bulletin-apo-33-a-metabolic-regulator_522300089_o.jpg"
26,Time,1965,A11a,,"New York: ""C"" Press, 1965. Signed limited first, Maynard and Miles A11a. Number 91 of 100, signed by Burroughs and Gysin. Some wear on spine. ",Time_1.resources/time_522292354_o.jpg
27,Valentine's Day Reading,1965,F12,,"New York: The American Theatre for Poets, 1965. Maynard and Miles F12. Per James Musser: ""Program distributed on the occasion of Burroughs' appearance at the East End Theatre in New York, 1965, for a Valentine's Day reading sponsored by The American Theatre for Poets.  Prints ""Transcript of Dutch Schultz's Last Words"" and ""The Coldspring News.""  This is Lawrence Ferlinghetti's copy with the notation ""Save for CLJ #3"" in Ferlinghetti's hand.  Ferlinghetti was apparently going to include this piece in City Lights Journal #3, but decided against it.  Signed by William Burroughs."" These are pages 1 through 6, lacking the cover sheet and page 7 (""The Coldspring News"").",Valentine's%20Day%20Reading.resources/valentines-day-reading_522299687_o.jpg
28,Time,1965,A11a,,"New York: ""C"" Press, 1965. Signed limited first, Maynard and Miles A11a. Signed by Burroughs and Brion Gysin, who contributed four drawings. Number 22 of 100, some yellowing and wear on spine.",Time_3.resources/time_528568466_o.jpg
29,Nova Express,1965,A10b,,"New York: Grove Press, Inc., 1965. Maynard and Miles A10b. Sixth printing. Wrappers partially separated from spine.",Nova%20Express_2.resources/nova-express_522302165_o.jpg
30,Naked Lunch,1966,A2d,,"New York: Grove Press, Inc., 1966. Maynard and Miles A2d, second printing.",Naked%20Lunch.resources/Evernote%20Snapshot%2020171107%20212339.jpg
31,Nova Express,1966,A10c,,"London: Jonathan Cape, 1966. First English, Maynard and Miles A10c. With wording on page 4 blacked out with black magic marker.",Nova%20Express.resources/nova-express_522293982_o.jpg
32,APO-33 Bulletin,1966,A12b,,"San Francisco: Beach Books, Texts and Documents, 1966. Second, Maynard and Miles A12b. Some yellowing and chipping of pages.",APO-33%20Bulletin.resources/apo-33-bulletin_522299879_o.jpg
33,The Soft Machine,1966,A5b,,"New York: Grove Press, Inc., 1966. First American, Maynard and Miles A5b.",The%20Soft%20Machine_3.resources/the-soft-machine_522301711_o.jpg
34,The Ticket That Exploded,1967,A6b,,"New York: Grove Press, Inc., 1967. First American, Maynard and Miles A6b. First American edition. Dust jacket slightly torn vertically on back. ",The%20Ticket%20That%20Exploded_2.resources/the-ticket-that-exploded_522297367_o.jpg
35,Les lettres du Yage,1967,D10,,"Paris: L'Herne, 1967. First French, Maynard and Miles D10. Presentation copy  inscribed by Burroughs ""For Mary Beach and Claude Pelieu William Burroughs"" , also signed by Allen Ginsberg ""Allen Ginsberg Ah.""",Les%20lettres%20du%20Yage.resources/les-lettres-du-yage_522297281_o.jpg
36,So Who Owns Death TV?,1967,A13b,,"San Francisco: Beach Books, Texts and Documents, 1967. Second, Maynard and Miles A13b. Slight evidence of price sticker removal on front wrapper.",So%20Who%20Owns%20Death%20TV__2.resources/so-who-owns-death-tv_522298619_o.jpg
37,Burroughs Pelieu Kaufman,1967,D11,,"Paris: L'Herne, 1967. Limited first, Maynard and Miles D11. Number 33 of 40. With uncut pages and with signed and numbered lithograph by Jean Helion laid in.",Burroughs%20Pelieu%20Kaufman.resources/burroughs-pelieu-kaufman_522292498_o.jpg
38,The Soft Machine,1967,A5c,,"New York: Grove Press, Inc., 1967. First American paperback, Maynard and Miles A5c. Owner's signature, some yellowing.",The%20Soft%20Machine.resources/the-soft-machine_522293802_o.jpg
39,So Who Owns Death TV?,1967,A13a,,"San Francisco: Beach Books, Texts and Documents, 1967. First, Maynard and Miles A13a.",So%20Who%20Owns%20Death%20TV__1.resources/so-who-owns-death-tv_522298587_o.jpg
40,So Who Owns Death TV?,1967,A13a,,"San Francisco: Beach Books, Texts and Documents, 1967. First (variant), Maynard and Miles A13a. Some creasing in lower left hand corner and close to spine.",So%20Who%20Owns%20Death%20TV_.resources/so-who-owns-death-tv_522338258_o.jpg
41,The Ticket That Exploded,1967,A6b,,"New York: Grove Press, Inc., 1967. First American, Maynard and Miles A6b. Signed by Burroughs. Dust jacket slightly yellowed.",The%20Ticket%20That%20Exploded_5.resources/the-ticket-that-exploded_522302649_o.jpg
42,The Ticket That Exploded,1968,A6c,,"New York: Grove Press, Inc., 1968. Maynard and Miles A6c, second printing. Inscribed by Burroughs on title page “For Richard Aaron William S. Burroughs."" Per Ken Lopez, at one time this was in the collection of Robert and Donna Jackson: ""Jackson, a book collector long before he purchased Burroughs' papers, also acquired a number of other copies of Burroughs titles, including ... another group inscribed to Richard Aaron, the bookseller who had helped facilitate the sale of the [Vaduz] archive.""",The%20Ticket%20That%20Exploded_4.resources/Evernote%20Snapshot%2020171107%20212106.jpg
43,APO-33 Bulletin,1968,A12c,,"San Francisco: Beach Books, Texts and Documents, 1968. Third, Maynard and Miles A12c. Second printing of Beach edition.",APO-33%20Bulletin_1.resources/apo-33-bulletin_522292322_o.jpg
44,The Soft Machine,1968,,,"London: Calder & Boyars, 1968. First British, Maynard & Miles A5d.  Inscribed by Burroughs to his agent Michael Henshaw ""For Michael Henshaw with friendship and best wishes William S. Burroughs.""",The%20Soft%20Machine_4.resources/the-soft-machine_522288824_o.jpg
45,Minutes To Go,1968,A3b,,"San Francisco: Beach Books, Texts and Documents, 1968. First American, Maynard and Miles A3b. Owner's signature.",Minutes%20To%20Go_2.resources/minutes-to-go_522301753_o.jpg
46,Minutes To Go,1968,A3b,,"San Francisco: Beach Books, Texts and Documents, 1968. First American, Maynard and Miles A3b. Personal copy of Kathy Acker, signed by Acker.",Minutes%20To%20Go_1.resources/minutes-to-go_522295030_o.jpg
47,The Ticket That Exploded,1968,A6d,,"London: Calder & Boyars, 1968. First English, Maynard and Miles A6d. Signed by Burroughs, inscribed ""For Brad"".  I obtained this item from Red Stodolsky of Baroque Books in Hollywood in the late Eighties; I remember Red smiling gnomically when he handed it to me, as if he'd arranged to get it inscribed for me, but I have no real proof that that was the case. Slight tear and rubbing on spine of dust jacket.",The%20Ticket%20That%20Exploded.resources/the-ticket-that-exploded_522291614_o.jpg
48,The Dead Star,1969,A14a,,"San Francisco: The Nova Broadcast Press, 1969. First, Maynard and Miles A14a.",The%20Dead%20Star_1.resources/the-dead-star_522301801_o.jpg
49,The Dead Star,1969,A14a,,"San Francisco: The Nova Broadcast Press, 1969. First, Maynard and Miles A14a. Signed by Burroughs.",The%20Dead%20Star.resources/the-dead-star_522301663_o.jpg
50,Entretiens avec William Burroughs,1969,A15a,,"Paris: Editions Pierre Belfond, 1969. First, Maynard and Miles A15a. Inscribed by Burroughs to the dealer and proprietor of Am Here Books, Richard Aaron:  ""For Richard Aaron, William Burroughs.""",Entretiens%20avec%20William%20Burroughs.resources/entretiens-avec-william-burroughs_522297793_o.jpg
51,Le Ticket Qui Explosa,1969,D13,,"Paris: Christian Bourgois Editeur, 1969. First French, Maynard and Miles D13. Wrappers yellowed on spine.",Le%20Ticket%20Qui%20Explosa.resources/the-ticket-that-exploded_522294956_o.jpg
52,The Job,1970,A16b,,"London: Jonathan Cape, 1970. First English, Maynard and Miles A16b. Personal copy of Allen Ginsberg, signed by Ginsberg and Burroughs. Inscribed by Burroughs on title page ""For Allen a co worker of many years with respect for his achievements in the cause of freedom William Burroughs 1980"". Ownership signature of Ginsberg on obverse of leaf before title page, with notation at bottom ""Signed June 12, 1980 by WSB."" Publisher's slip (""with compliments from Tom Maschler Jonathan Cape Ltd. 30 Bedford Square London SW1"") and postcard (with picture of Ginsberg and Peter Orlovsky copyright Elsa Dorfman and the Witkin Gallery) laid in.",The%20Job_2.resources/the-job_522297497_o.jpg
53,The Last Words of Dutch Schultz,1970,A17a,,"London: Cape Goliard Press, 1970. First, Maynard and Miles A17a. Some yellowing to dust jacket.",The%20Last%20Words%20of%20Dutch%20Schultz.resources/the-last-words-of-dutch-schultz_522293720_o.jpg
54,The Last Words of Dutch Schultz,1970,A17a,,"London: Cape Goliard Press, 1970. Signed limited first, Maynard and Miles A17a. Signed and numbered by Burroughs, 13 of 100. With tissue wraps as issued.",The%20Last%20Words%20of%20Dutch%20Schultz_1.resources/the-last-words-of-dutch-schultz_522302227_o.jpg
55,The Soft Machine,1970,A5f,,"London: Corgi Books, 1970. First edition thus. Maynard and Miles A5f.",The%20Soft%20Machine_1.resources/Evernote%20Snapshot%2020171107%20212250.jpg
56,The Job,1970,A16a,,"New York: Grove Press, Inc., 1970. First, Maynard and Miles A16a.",The%20Job.resources/the-job_522300899_o.jpg
57,The Braille Film,1970,B55,,"San Francisco: Nova Broadcast Press, 1970. Maynard and Miles B55.",The%20Braille%20Film.resources/the-braille-film_522295784_o.jpg
58,The Job,1970,A16a,,"New York: Grove Press, Inc., 1970. First, Maynard and Miles A16a. Signed by Burroughs, inscribed ""To Mike”.",The%20Job_1.resources/the-job_522302211_o.jpg
59,The Job,1970,A16a,,"New York: Grove Press, Inc., 1970. First, Maynard and Miles A16a. Uncorrected proof. Comb-bound in slightly soiled faded orange wrappers.",The%20Job_3.resources/the-job_522299541_o.jpg
60,Ali's Smile - Record,1971,A19a,,"Brighton, England: Unicorn Books, 1971. Signed limited first. Maynard and Miles A19a. A copy of the record with sleeve originally supplied with the book. This copy was purchased from a different source than my copy of the book, so there's no evidence that the two constituted a complete set. Since one would expect complete sets to stay together, it is unlikely that they ever were. But together they form a made-up copy.",Ali's%20Smile%20-%20Record.resources/alis-smile---record_522299571_o.jpg
61,Ali's Smile,1971,A19a,,"Brighton, England: Unicorn Books, 1971. Signed limited first, Maynard and Miles A19a. Signed and numbered by Burroughs, 39 of 99. Unfortunately missing the original box and record.",Ali's%20Smile_1.resources/alis-smile_522300683_o.jpg
62,Promotional Flyer for Am Here Books,1971,,G61,"Ollon, Switzerland: Am Here Books, 1971. Schottlaender G61. Fascimile of an untitled Burroughs manuscript page, revised text appearing later as ""Seeing Red"" in Exterminator!  Printed on the verso of a promotional announcement for Am Here Books, one of 70 printed. Folded and sealed with a Fluxus stamp as issued.",Promotional%20Flyer%20for%20Am%20Here%20Books.resources/promotional-flyer-for-am-here-books_522298519_o.jpg
63,Jack Kerouac,1971,A18a,,"Paris: L'Herne, 1971. First, Maynard and Miles A18a. Signed by Burroughs at contribution.",Jack%20Kerouac.resources/jack-kerouac_522300641_o.jpg
64,Letter Out Of Nowhere,1971,,G30,"London: Anthony Harris, 1971. First, Schottlaender G30. Per James Musser: ""Single sheet (done in the style of a letter) printing a cut-up by Burroughs of a Harris text.  Enclosed in a mailing envelope.  Slightly darkened from age, else fine (trivial wear to envelope).""",Letter%20Out%20Of%20Nowhere.resources/letter-out-of-nowhere_522298949_o.jpg
65,Electronic Revolution Prepublication Announcement,1971,F27,,"Cambridge: Blackmoor Head Press, 1971. Maynard and Miles F27. The prepublication announcement for Electronic Revolution (Maynard and Miles A21a).",Electronic%20Revolution%20Prepublication%20Announcement.resources/electronic-revolution-prepublication-announcement_522291484_o.jpg
66,Die elektronische Revolution,1971,D27,,"Bonn: Expanded Media Editions, 1971. Signed limited first German, Maynard and Miles D27. Number 11 of 100.",Die%20elektronische%20Revolution.resources/the-electronic-revolution_522296723_o.jpg
67,The Wild Boys,1971,A20a,,"New York: Grove Press, Inc., 1971. First, Maynard and Miles A20a. Signed by Burroughs.",The%20Wild%20Boys.resources/the-wild-boys_522298329_o.jpg
68,Electronic Revolution,1971,A21a,,"Cambridge: Blackmoor Head Press, 1971. Signed limited first, Maynard and Miles A21a. Includes four prints signed by Brion Gysin and publisher's prepublication announcement (Maynard and Miles F27) laid in. Inscribed by Burroughs ""for Philip Kaplan Williams Burroughs."" Number 10 of 50. In slipcase with numbered label.",Electronic%20Revolution_1.resources/electronic-revolution_522300125_o.jpg
69,Electronic Revolution,1971,A21a,,"Cambridge: Blackmoor Head Press, 1971. First, Maynard and Miles A21a.",Electronic%20Revolution_2.resources/electronic-revolution_522299857_o.jpg
70,William Burroughs - The Algebra of Need,1971,,I120,"Buffalo: INTREPID Press, 1971. First, Schottlaender I120. Signed by Mottram.",William%20Burroughs%20-%20The%20Algebra%20of%20Need.resources/william-burroughs---the-algebra-of-need_522295824_o.jpg
71,The Wild Boys,1972,A20b,,"London: Calder and Boyars, 1972. First English, Maynard and Miles A20b. Slightly soiled dust jacket.",The%20Wild%20Boys_2.resources/the-wild-boys_522301153_o.jpg
72,Time,1972,A11b,,"Sussex, England: Urgency Press Rip-Off, 1972. Maynard and Miles A11b. The piracy of the ""C"" Press edition.",Time.resources/time_522292410_o.jpg
73,Time,1972,A11b,,"Sussex, England: Urgency Press Rip-Off, 1972. Maynard and Miles A11b. The piracy of the ""C"" Press edition.  Some yellowing at top and bottom.",Time_2.resources/time_522299959_o.jpg
74,The Wild Boys,1972,A20d,,"New York: Grove Press, Inc., 1972. First American paperback, Maynard and Miles A20d. Signed by Burroughs.",The%20Wild%20Boys_1.resources/the-wild-boys_522300427_o.jpg
75,Brion Gysin Let The Mice In,1973,A22a,,"West Glover: Something Else Press, Inc., 1973. First, Maynard and Miles A22a. Dust jacket slightly worn and rubbed in places.",Brion%20Gysin%20Let%20The%20Mice%20In.resources/brion-gysin-let-the-mice-in_522293016_o.jpg
76,Catalogue of the William S. Burroughs Archive,1973,,I128,"London/Ollon: Covent Garden Press, Ltd./Am Here Books, 1973. Schottlaender I128. Signed by Burroughs, Brion Gysin and Miles. Signed limited edition of 226, this one unlettered and unnumbered. Some foxing to edges, and the top edge of the front of the acetate dust jacket is cut off. ",Catalogue%20of%20the%20William%20S.%20Burroughs%20Archive_1.resources/catalogue-of-the-william-s-burroughs-archive_522297323_o.jpg
77,Ali's Smile,1973,,A22b,"Bonn, Germany: Expanded Media Editions, 1973. Signed limited first German edition, Schottlaender A22b. Bilingual English/German text. Number 22 of 100, signed by Burroughs.",Ali's%20Smile.resources/alis-smile_522297177_o.jpg
78,Catalogue of the William S. Burroughs Archive,1973,,I128,"London/Ollon: Covent Garden Press, Ltd./Am Here Books, 1973. Schottlaender I128. Signed by Burroughs, Brion Gysin and Miles. Signed limited edition of 226, lettered O of 26. Bound in white leather. Laid in is a typescript signed by Burroughs with corrections in Burroughs' hand, corresponding to but with variations from the text on page 161 of the catalog describing Item 1 from Folio Number 65, starting ""Audrey Carsons, the Dead Child, the Frisco Kid..."" In slipcase. ",Catalogue%20of%20the%20William%20S.%20Burroughs%20Archive.resources/catalogue-of-the-william-s-burroughs-archive_522288794_o.jpg
79,William Burroughs Archive - Proposed Layout For WSB Archive Description,1973,,,"n.p., 1973. Drawing by Barry Miles titled ""Proposed Layout For WSB Archive Description"", in reference to the ""A Descriptive Catalogue of the William S . Burroughs Archive,"". Drawing signed by Miles. Together with a letter and stamped envelope from Roberto Altmann to Philip Kaplan discussing a question about publishing matters at Altmann's Aperios imprint, and a 1974 New's Year greetings card from Maggy and Roberto Altmann, with artwork signed ""MA.""",William%20Burroughs%20Archive%20-%20Proposed%20Layout%20For%20WSB%20Archive%20Description.resources/william-burroughs-archive---proposed-layout-for-wsb-archive-description_522290384_o.jpg
80,White Subway,1973,A24a,,"London: Aloes Press, 1973. Signed limited first, Maynard and Miles A24a. Signed by Burroughs. Number 13 of 25. In custom clamshell case.",White%20Subway.resources/white-subway_522297133_o.jpg
81,William Burroughs Archive - Contract,1973,,,"Vaduz, Liechtenstein: n.p., 1973. Richard Aaron's copy of the contract (in German) for the sale of Burroughs' literary archive, as described in ""A Descriptive Catalogue of the William S. Burroughs Archive,"" to Roberto Altmann. Signed by Burroughs, Brion Gysin, Richard Aaron and Altmann, and dated 23 June 1973. This is the archive now in the Berg Collection of the New York Public Library.",William%20Burroughs%20Archive%20-%20Contract.resources/william-burroughs-archive---contract_522290360_o.jpg
